Id,Name,Department,City,Salary,Experience,Performance,Phone_Number,Office_Location_Code,Temporary_Flag
1,Aman,IT,Mumbai,70000,3,4,9876,M1,Y
2,Riya,HR,Delhi,50000,2,3,8765,D1,N
3,Karan,IT,Mumbai,80000,5,5,7654,M1,N
4,Zoya,Finance,Delhi,90000,7,4,6543,D1,Y
5,Arjun,HR,Bangalore,52000,3,3,5432,B1,N
6,Meera,IT,Mumbai,75000,4,4,4321,M1,N
7,Kabir,Finance,Delhi,88000,6,5,3210,D1,Y
8,Archita,IT,Bangalore,72000,3,4,2109,B1,N
9,Rahul,HR,Mumbai,51000,2,3,1098,M1,N
10,Pushpa,Finance,Bangalore,91000,8,5,9987,B1,Y
