Id,Name,Age,Dob,Marks,Height,Post,Salary,Department
1,Riya,21,2005-05-23,85,170,Junior,30000,IT
2,Anna,27,1999-08-15,92,165,Senior,40000,HR
3,Peter,38,1988-12-10,78,180,Manager,50000,IT
4,Linda,35,1991-03-05,95,160,Senior,40000,Finance
5,Tom,33,1993-11-12,88,175,Senior,40000,HR
6,Sara,26,2000-01-30,90,168,Senior,40000,IT
7,David,34,1992-07-20,82,172,Senior,40000,Finance
8,Emily,31,1995-09-18,89,163,Senior,40000,IT
9,Michael,18,1983-02-25,91,185,Junior,30000,HR
10,Sophia,29,1997-06-14,87,167,Senior,40000,Finance
