Id,Name,Department,Salary,Years,Rating,City,Gender,Budget,Salary_to_Budget_Ratio
1,Alice,HR,55000,3,4.1,NYC,F,200000,0.275
2,Bob,Tech,82000,5,3.8,LA,M,500000,0.164
3,Charlie,Tech,91000,7,4.5,NYC,M,500000,0.182
4,Diana,HR,60000,2,,Chicago,F,200000,0.3
5,Eve,Finance,73000,4,4.0,LA,F,350000,0.20857142857142857
6,Frank,Finance,68000,6,3.5,NYC,M,350000,0.19428571428571428
7,Grace,Tech,95000,8,4.7,Chicago,F,500000,0.19
8,Hank,HR,52000,1,,LA,M,200000,0.26
9,Ivy,Tech,87000,5,4.2,NYC,F,500000,0.174
10,Jack,Finance,71000,3,3.9,Chicago,M,350000,0.20285714285714285
11,Karen,HR,58000,2,,LA,F,200000,0.29
12,Leo,Tech,99000,9,4.8,NYC,M,500000,0.198
13,Mia,Finance,65000,4,3.6,Chicago,F,350000,0.18571428571428572
14,Nate,HR,53000,1,,LA,M,200000,0.265
15,Olivia,Tech,78000,6,4.3,NYC,F,500000,0.156
16,Paul,Finance,70000,3,3.7,Chicago,M,350000,0.2
